kyBP,Prec_5KYR_AVG_DIFF,Humidity_5kyr_AVG_DIFF,Humidity_5kyr_AVG_DIFF_1,Humidity_3kyr_AVG_DIFF,Prec_3KYR_AVG_DIFF
4,0.002409091,-0.487,0.513,-0.664168758,0.002642857
4.5,0.002318182,-0.308,0.692,-0.639807615,0.002642857
5,0.002181818,-0.305,0.695,-0.838116105,0.002571429
5.5,0.002045455,-0.295,0.705,-0.816893877,0.0025
6,0.001818182,-0.045,0.955,-0.466165714,0.002357143
6.5,0.001545455,0.228,1.228,0.018258941,0.002142857
7,0.001181818,0.285,1.285,0.185547798,0.001857143
7.5,0.000863636,0.245,1.245,0.179021314,0.001642857
8,0.0005,0.308,1.308,0.406572568,0.001285714
8.5,0.000181818,0.393,1.393,0.603147836,0.001
9,-0.000181818,0.435,1.435,0.577301906,0.000571429
9.5,-0.0005,0.44,1.44,0.4859953,0.000214286
10,-0.000909091,0.45,1.45,0.327924795,-0.000214286
10.5,-0.001272727,0.322,1.322,0.258890683,-0.000571429
11,-0.001590909,0.274,1.274,0.329932006,-0.001
11.5,-0.001818182,0.174,1.174,0.296005601,-0.001285714
12,-0.002090909,0.056,1.056,0.367296817,-0.001714286
12.5,-0.002272727,0.063,1.063,0.243525499,-0.002
13,-0.002409091,-0.026,0.974,0.224482056,-0.002214286
13.5,-0.0025,-0.039,0.961,0.196260598,-0.002357143
14,-0.002545455,-0.06,0.94,0.07379885,-0.002571429
14.5,-0.002545455,-0.121,0.879,-0.007933324,-0.002714286
15,-0.0025,-0.124,0.876,-0.245883701,-0.002785714
15.5,-0.002363636,-0.176,0.824,-0.44038011,-0.002714286
16,-0.002136364,-0.13,0.87,-0.341089035,-0.002571429
16.5,-0.001954545,-0.141,0.859,-0.291739385,-0.0025
17,-0.001727273,-0.15,0.85,-0.173025731,-0.002357143
17.5,-0.001454545,-0.108,0.892,0.00247387,-0.002142857
18,-0.001090909,-0.116,0.884,-0.059028565,-0.001785714
18.5,-0.000772727,0.006,1.006,0.04346563,-0.0015
19,-0.000409091,0.052,1.052,0.021768759,-0.001142857
19.5,-9.09E-05,0.102,1.102,-0.000821231,-0.000857143
20,0.000272727,0.152,1.152,0.000781372,-0.000428571
20.5,0.000590909,0.155,1.155,-0.04134336,-7.14286E-05
21,0.000954545,0.148,1.148,-0.081928597,0.000357143
